date,Voltage,Charge_Capacity,Current
06/22/2018 00:39:37.000,4.400020599,0.979253411,1.01260376
06/22/2018 00:41:37.000,4.40002346,1.012009621,0.95421505
06/22/2018 00:43:37.000,4.400006294,1.042905211,0.900143623
06/22/2018 00:45:37.000,4.399974823,1.072064519,0.850465775
06/22/2018 00:47:37.000,4.399974823,1.099646807,0.804721832
06/22/2018 00:49:37.000,4.399999619,1.125750065,0.762073517
06/22/2018 00:51:37.000,4.399991035,1.150491118,0.722249031
06/22/2018 00:53:37.000,4.400043488,1.173941731,0.685119629
06/22/2018 00:55:37.000,4.400022507,1.194959879,0.651999474
06/22/2018 00:57:37.000,4.26566124,1.194960237,0
06/22/2018 00:59:37.000,4.251403809,1.194960237,0
06/22/2018 01:01:37.000,4.247509956,1.194960237,0
06/22/2018 01:03:37.000,3.296809196,1.194960237,-6.51987505
06/22/2018 01:05:37.000,3.237230301,1.194960237,-6.519841671
06/22/2018 01:07:37.000,3.161275864,1.194960237,-6.520072937
06/22/2018 01:09:37.000,3.086379051,1.194960237,-6.519861698
06/22/2018 01:11:37.000,2.999979973,1.194960237,-6.519901752
06/22/2018 01:13:37.000,3.855273247,1.194960237,0
06/22/2018 01:15:37.000,3.872860909,1.194960237,0
06/22/2018 01:17:37.000,3.876511574,1.194960237,0
06/22/2018 01:19:37.000,4.200072289,0.014817519,3.259860992
06/22/2018 01:21:37.000,4.309679031,0.123225018,3.259843826
06/22/2018 01:23:37.000,4.349600792,0.231890023,3.259819031
06/22/2018 01:25:37.000,4.40003109,0.340470731,3.208900452
06/22/2018 01:27:37.000,4.400003433,0.437550694,2.640703201
06/22/2018 01:29:37.000,4.400021553,0.518076658,2.211875916
06/22/2018 01:31:37.000,4.399956703,0.586330771,1.900110245
06/22/2018 01:33:37.000,4.399971962,0.645698488,1.671019554
06/22/2018 01:35:37.000,4.400000572,0.698363543,1.496786118
06/22/2018 01:37:37.000,4.399969101,0.74591136,1.359897614
06/22/2018 01:39:37.000,4.400029182,0.789332151,1.248429298
06/22/2018 01:41:37.000,4.400005341,0.829363763,1.155653954
06/22/2018 01:43:37.000,4.399964333,0.866528511,1.075722694
06/22/2018 01:45:37.000,4.399982452,0.901181221,1.005044937
06/22/2018 01:47:37.000,4.400003433,0.9336043,0.941466331
06/22/2018 01:49:37.000,4.399980545,0.964041531,0.884998322
06/22/2018 01:51:37.000,4.399977684,0.992656946,0.832557678
06/22/2018 01:53:37.000,4.399980545,1.019611835,0.786231995
06/22/2018 01:55:37.000,4.399993896,1.045118093,0.74514389
06/22/2018 01:57:37.000,4.400021553,1.069304109,0.706389427
06/22/2018 01:59:37.000,4.399972916,1.092256308,0.670497894
06/22/2018 02:01:37.000,4.39999485,1.104292154,0.651997566
06/22/2018 02:03:37.000,4.269369125,1.104295135,0
06/22/2018 02:05:37.000,4.256146431,1.104295135,0
06/22/2018 02:07:37.000,4.252741814,1.104295135,0
06/22/2018 02:09:37.000,3.316129684,1.104295135,-6.519895077
06/22/2018 02:11:37.000,3.251707077,1.104295135,-6.519806385
06/22/2018 02:13:37.000,3.170819283,1.104295135,-6.519890308
06/22/2018 02:15:37.000,3.09311676,1.104295135,-6.519833088
06/22/2018 02:17:37.000,3.001351357,1.104295135,-6.519898415
06/22/2018 02:19:37.000,2.999978065,1.104295135,-6.519868374
06/22/2018 02:21:37.000,3.854113579,1.104295135,0
06/22/2018 02:23:37.000,3.872580528,1.104295135,0
06/22/2018 02:25:37.000,3.876401901,1.104295135,0
06/22/2018 02:27:37.000,4.200060844,0.016174274,3.259819031
06/22/2018 02:29:37.000,4.302477837,0.124589421,3.260183334
06/22/2018 02:31:37.000,4.339710236,0.233252451,3.259885788
06/22/2018 02:33:37.000,4.39203167,0.341909081,3.259893417
06/22/2018 02:35:37.000,4.400020599,0.442333758,2.720762253
06/22/2018 02:37:37.000,4.400030136,0.524899185,2.255893707
06/22/2018 02:39:37.000,4.400013924,0.594059527,1.914705276
06/22/2018 02:41:37.000,4.40007782,0.65358609,1.670412064
06/22/2018 02:43:37.000,4.400012016,0.706128836,1.490560532
06/22/2018 02:45:37.000,4.399991989,0.753414631,1.351829529
06/22/2018 02:47:37.000,4.399982452,0.796559215,1.240319252
06/22/2018 02:49:37.000,4.399949074,0.836311758,1.147044182
06/22/2018 02:51:37.000,4.399996758,0.873161614,1.065270424
06/22/2018 02:53:37.000,4.399968147,0.907474339,0.993696213
06/22/2018 02:55:37.000,4.399953842,0.939507782,0.929602623
06/22/2018 02:57:37.000,4.400004387,0.969492733,0.870165825
06/22/2018 02:59:37.000,4.39995575,0.997614741,0.81790638
06/22/2018 03:01:37.000,4.400039673,1.024065614,0.76966095
06/22/2018 03:03:37.000,4.399969101,1.048973322,0.724972725
06/22/2018 03:05:37.000,4.400022507,1.072449088,0.683961868
06/22/2018 03:07:37.000,4.399967194,1.090466022,0.651987076
06/22/2018 03:09:37.000,4.268050194,1.090468645,0
06/22/2018 03:11:37.000,4.255020142,1.090468645,0
06/22/2018 03:13:37.000,4.251676559,1.090468645,0
06/22/2018 03:15:37.000,3.304450035,1.090468645,-6.519900322
06/22/2018 03:17:37.000,3.239053726,1.090468645,-6.519866943
06/22/2018 03:19:37.000,3.157513618,1.090468645,-6.519876957
06/22/2018 03:21:37.000,3.074371338,1.090468645,-6.519814491
06/22/2018 03:23:37.000,2.999997139,1.090468645,-6.519878387
06/22/2018 03:25:37.000,3.862734795,1.090468645,0
06/22/2018 03:27:37.000,3.880951881,1.090468645,0
06/22/2018 03:29:37.000,3.884852409,1.090468645,0
06/22/2018 03:31:37.000,4.200054169,0.010539216,3.259963989
06/22/2018 03:33:37.000,4.319300652,0.118948929,3.259881973
06/22/2018 03:35:37.000,4.356654167,0.227607742,3.259918213
06/22/2018 03:37:37.000,4.399997711,0.335888416,3.138727188
